iShares PHLX Semiconductor ETF
Fund Holdings as of,"Apr 03, 2020"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"10,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"NVDA","NVIDIA CORP","Equity","10.68","243.91","883,209.00","215,423,507.19","215,423,507.19","Information Technology","2379504","US67066G1040","NASDAQ"
"INTC","INTEL CORPORATION CORP","Equity","8.85","54.13","3,297,615.00","178,499,899.95","178,499,899.95","Information Technology","2463247","US4581401001","NASDAQ"
"TXN","TEXAS INSTRUMENT INC","Equity","7.89","99.98","1,592,434.00","159,211,551.32","159,211,551.32","Information Technology","2885409","US8825081040","NASDAQ"
"QCOM","QUALCOMM INC","Equity","7.41","65.23","2,291,161.00","149,452,432.03","149,452,432.03","Information Technology","2714923","US7475251036","NASDAQ"
"AVGO","BROADCOM INC","Equity","7.03","234.26","605,377.00","141,815,616.02","141,815,616.02","Information Technology","BDZ78H9","US11135F1012","NASDAQ"
"AMD","ADVANCED MICRO DEVICES INC","Equity","5.16","42.59","2,444,784.00","104,123,350.56","104,123,350.56","Information Technology","2007849","US0079031078","NASDAQ"
"TSM","TAIWAN SEMICONDUCTOR MANUFACTURING","Equity","4.21","47.06","1,802,850.00","84,842,121.00","84,842,121.00","Information Technology","2113382","US8740391003","New York Stock Exchange Inc."
"MU","MICRON TECHNOLOGY INC","Equity","4.12","41.22","2,014,593.00","83,041,523.46","83,041,523.46","Information Technology","2588184","US5951121038","NASDAQ"
"LRCX","LAM RESEARCH CORP","Equity","3.88","218.15","358,705.00","78,251,495.75","78,251,495.75","Information Technology","2502247","US5128071082","NASDAQ"
"ADI","ANALOG DEVICES INC","Equity","3.64","86.56","847,396.00","73,350,597.76","73,350,597.76","Information Technology","2032067","US0326541051","NASDAQ"
"KLAC","KLA CORP","Equity","3.60","127.94","568,129.00","72,686,424.26","72,686,424.26","Information Technology","2480138","US4824801009","NASDAQ"
"XLNX","XILINX INC","Equity","3.55","79.08","905,390.00","71,598,241.20","71,598,241.20","Information Technology","2985677","US9839191015","NASDAQ"
"AMAT","APPLIED MATERIAL INC","Equity","3.47","42.28","1,653,079.00","69,892,180.12","69,892,180.12","Information Technology","2046552","US0382221051","NASDAQ"
"ASML","ASML HOLDING ADR REPRESENTING NV","Equity","3.23","244.61","266,649.00","65,225,011.89","65,225,011.89","Information Technology","B908F01","USN070592100","NASDAQ"
"NXPI","NXP SEMICONDUCTORS NV","Equity","3.11","75.75","828,114.00","62,729,635.50","62,729,635.50","Information Technology","B505PN7","NL0009538784","NASDAQ"
"MCHP","MICROCHIP TECHNOLOGY INC","Equity","2.73","64.04","860,421.00","55,101,360.84","55,101,360.84","Information Technology","2592174","US5950171042","NASDAQ"
"MRVL","MARVELL TECHNOLOGY GROUP LTD","Equity","2.67","22.43","2,401,485.00","53,865,308.55","53,865,308.55","Information Technology","2594653","BMG5876H1051","NASDAQ"
"SWKS","SKYWORKS SOLUTIONS INC","Equity","2.44","80.30","613,423.00","49,257,866.90","49,257,866.90","Information Technology","2961053","US83088M1027","NASDAQ"
"MXIM","MAXIM INTEGRATED PRODUCTS INC","Equity","2.35","48.64","974,309.00","47,390,389.76","47,390,389.76","Information Technology","2573760","US57772K1016","NASDAQ"
"TER","TERADYNE INC","Equity","1.58","52.86","603,353.00","31,893,239.58","31,893,239.58","Information Technology","2884183","US8807701029","NASDAQ"
"QRVO","QORVO INC","Equity","1.52","73.44","418,276.00","30,718,189.44","30,718,189.44","Information Technology","BR9YYP4","US74736K1016","NASDAQ"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Equity","1.19","153.42","156,399.00","23,994,734.58","23,994,734.58","Information Technology","B01Z7J1","US6098391054","NASDAQ"
"ENTG","ENTEGRIS INC","Equity","1.01","42.11","485,604.00","20,448,784.44","20,448,784.44","Information Technology","2599700","US29362U1043","NASDAQ"
"ON","ON SEMICONDUCTOR CORP","Equity","0.80","10.94","1,478,777.00","16,177,820.38","16,177,820.38","Information Technology","2583576","US6821891057","NASDAQ"
"MKSI","MKS INSTRUMENTS INC","Equity","0.73","74.98","196,262.00","14,715,724.76","14,715,724.76","Information Technology","2404871","US55306N1046","NASDAQ"
